Customer_ID,Age_Group,Gender,City_Tier,Income_Level,Connection_Type,Booking_Method,Booking_Frequency,Digital_Preference,Delivery_Days,Complaint,Overall_Satisfaction
111,50+,Female,Tier 1,50k-1L,Domestic,Mobile App,2-3 months,1,3,0,4
112,36-50,Female,Tier 3,50k-1L,Domestic,Agent,2-3 months,1,4,1,2
113,50+,Male,Tier 1,20k-50k,Domestic,Mobile App,Monthly,1,1,0,5
114,26-35,Male,Tier 2,50k-1L,Commercial,Agent,3-6 months,1,2,1,3
115,36-50,Male,Tier 2,20k-50k,Domestic,Call,3-6 months,1,4,1,2
116,50+,Male,Tier 2,20k-50k,Commercial,Agent,3-6 months,1,5,1,2
117,18-25,Female,Tier 2,<20k,Commercial,Call,2-3 months,0,3,1,3
118,26-35,Prefer not to say,Tier 2,20k-50k,Domestic,Call,Monthly,1,6,1,1
119,50+,Male,Tier 2,50k-1L,Domestic,Website,3-6 months,1,5,1,1
120,18-25,Prefer not to say,Tier 2,1L+,Commercial,Mobile App,Monthly,1,1,0,5
121,50+,Male,Tier 1,<20k,Domestic,Mobile App,Monthly,0,3,0,2
122,18-25,Male,Tier 3,50k-1L,Domestic,Call,2-3 months,0,3,1,2
123,26-35,Prefer not to say,Tier 2,20k-50k,Commercial,Website,3-6 months,1,3,0,4
124,36-50,Female,Tier 3,20k-50k,Domestic,Mobile App,Monthly,1,3,0,2
125,18-25,Male,Tier 1,<20k,Domestic,Mobile App,2-3 months,1,1,0,4
126,50+,Male,Tier 2,20k-50k,Domestic,Mobile App,2-3 months,1,1,0,5
127,26-35,Male,Tier 2,20k-50k,Domestic,Mobile App,2-3 months,0,3,0,4
128,18-25,Prefer not to say,Tier 2,20k-50k,Domestic,Website,3-6 months,1,3,0,2
129,50+,Female,Tier 2,50k-1L,Domestic,Agent,3-6 months,1,4,1,2
130,50+,Prefer not to say,Tier 1,50k-1L,Domestic,Call,2-3 months,1,5,1,1
131,50+,Prefer not to say,Tier 2,20k-50k,Domestic,Call,3-6 months,1,3,1,3
132,18-25,Female,Tier 2,1L+,Domestic,Agent,3-6 months,1,2,1,4
133,18-25,Prefer not to say,Tier 1,20k-50k,Domestic,Mobile App,Monthly,1,2,0,4
134,18-25,Female,Tier 2,<20k,Domestic,Mobile App,2-3 months,1,2,0,4
135,36-50,Male,Tier 2,50k-1L,Domestic,Mobile App,2-3 months,1,3,0,2
136,18-25,Female,Tier 1,<20k,Domestic,Mobile App,3-6 months,0,1,0,5
137,18-25,Male,Tier 3,20k-50k,Domestic,Mobile App,2-3 months,1,2,0,5
138,18-25,Prefer not to say,Tier 3,<20k,Commercial,Mobile App,2-3 months,1,1,0,5
139,36-50,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,2-3 months,1,3,0,3
140,18-25,Male,Tier 1,50k-1L,Domestic,Mobile App,3-6 months,0,1,0,5
141,50+,Prefer not to say,Tier 2,20k-50k,Domestic,Agent,3-6 months,1,3,1,2
142,18-25,Female,Tier 2,20k-50k,Domestic,Mobile App,3-6 months,1,1,0,5
143,50+,Male,Tier 2,<20k,Domestic,Website,Monthly,1,6,1,1
144,50+,Prefer not to say,Tier 2,50k-1L,Domestic,Mobile App,2-3 months,0,2,0,5
145,50+,Male,Tier 2,20k-50k,Domestic,Agent,Monthly,1,3,1,3
146,36-50,Female,Tier 2,50k-1L,Domestic,Agent,3-6 months,0,4,1,3
147,36-50,Female,Tier 2,20k-50k,Domestic,Website,Monthly,0,3,0,2
148,36-50,Prefer not to say,Tier 2,<20k,Domestic,Agent,2-3 months,0,3,1,4
149,18-25,Female,Tier 3,20k-50k,Domestic,Mobile App,2-3 months,1,2,0,4
150,50+,Male,Tier 2,<20k,Commercial,Mobile App,3-6 months,0,1,0,5
151,36-50,Female,Tier 2,20k-50k,Domestic,Mobile App,3-6 months,1,1,0,5
152,36-50,Male,Tier 3,20k-50k,Domestic,Mobile App,Monthly,1,3,0,4
153,18-25,Male,Tier 2,1L+,Domestic,Mobile App,3-6 months,1,1,0,5
154,36-50,Female,Tier 2,<20k,Commercial,Agent,Monthly,1,2,1,3
155,18-25,Prefer not to say,Tier 2,50k-1L,Domestic,Call,2-3 months,1,6,1,1
156,26-35,Female,Tier 2,<20k,Commercial,Call,2-3 months,1,5,1,1
157,36-50,Male,Tier 3,20k-50k,Domestic,Website,2-3 months,1,3,0,2
158,26-35,Male,Tier 2,20k-50k,Domestic,Call,2-3 months,1,3,1,3
159,18-25,Female,Tier 3,1L+,Domestic,Call,2-3 months,0,6,1,1
160,50+,Prefer not to say,Tier 1,<20k,Domestic,Agent,Monthly,0,2,1,4
161,36-50,Prefer not to say,Tier 1,<20k,Domestic,Mobile App,2-3 months,1,2,0,3
162,18-25,Male,Tier 2,20k-50k,Domestic,Mobile App,Monthly,1,2,0,4
163,50+,Male,Tier 1,<20k,Domestic,Website,2-3 months,1,6,1,1
164,50+,Prefer not to say,Tier 1,<20k,Commercial,Website,Monthly,1,3,0,2
165,26-35,Female,Tier 2,20k-50k,Domestic,Agent,Monthly,1,4,1,1
166,18-25,Male,Tier 1,<20k,Commercial,Mobile App,Monthly,1,3,0,2
167,50+,Male,Tier 1,<20k,Domestic,Agent,3-6 months,0,2,1,3
168,36-50,Prefer not to say,Tier 3,50k-1L,Domestic,Mobile App,Monthly,1,1,0,5
169,36-50,Female,Tier 1,20k-50k,Commercial,Mobile App,Monthly,1,3,0,3
170,26-35,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,2-3 months,1,1,0,5
171,50+,Female,Tier 2,20k-50k,Domestic,Mobile App,Monthly,1,1,0,4
172,18-25,Female,Tier 3,20k-50k,Domestic,Mobile App,Monthly,1,3,0,2
173,36-50,Female,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,1,1,0,4
174,50+,Male,Tier 3,20k-50k,Domestic,Mobile App,2-3 months,1,2,0,3
175,50+,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,3-6 months,1,3,0,2
176,26-35,Prefer not to say,Tier 2,20k-50k,Domestic,Agent,3-6 months,1,6,1,1
177,36-50,Female,Tier 2,20k-50k,Commercial,Call,3-6 months,1,3,1,4
178,36-50,Male,Tier 3,20k-50k,Domestic,Mobile App,Monthly,1,2,0,5
179,18-25,Male,Tier 2,50k-1L,Commercial,Mobile App,3-6 months,0,3,0,3
180,36-50,Prefer not to say,Tier 2,20k-50k,Domestic,Call,3-6 months,1,4,1,2
181,18-25,Male,Tier 2,20k-50k,Domestic,Call,2-3 months,1,6,1,1
182,36-50,Male,Tier 2,20k-50k,Domestic,Mobile App,2-3 months,1,2,0,5
183,26-35,Female,Tier 3,20k-50k,Domestic,Call,2-3 months,1,5,1,2
184,36-50,Male,Tier 1,<20k,Commercial,Website,2-3 months,1,4,1,1
185,18-25,Female,Tier 3,<20k,Domestic,Mobile App,3-6 months,1,2,0,5
186,18-25,Prefer not to say,Tier 1,50k-1L,Domestic,Mobile App,2-3 months,1,2,0,5
187,26-35,Male,Tier 1,20k-50k,Domestic,Mobile App,Monthly,1,2,0,4
188,36-50,Prefer not to say,Tier 1,20k-50k,Domestic,Call,3-6 months,1,2,1,5
189,36-50,Prefer not to say,Tier 2,20k-50k,Commercial,Mobile App,2-3 months,1,1,0,4
190,26-35,Male,Tier 2,20k-50k,Commercial,Mobile App,3-6 months,1,1,0,5
191,36-50,Male,Tier 1,<20k,Domestic,Mobile App,2-3 months,1,2,0,4
192,36-50,Prefer not to say,Tier 1,50k-1L,Domestic,Website,3-6 months,1,3,0,3
193,18-25,Male,Tier 3,<20k,Domestic,Agent,2-3 months,1,4,1,1
194,36-50,Female,Tier 3,50k-1L,Domestic,Call,Monthly,0,6,1,1
195,36-50,Female,Tier 3,50k-1L,Commercial,Agent,2-3 months,0,5,1,2
196,26-35,Male,Tier 3,50k-1L,Domestic,Mobile App,3-6 months,0,2,0,3
197,26-35,Prefer not to say,Tier 2,20k-50k,Domestic,Agent,3-6 months,1,6,1,1
198,50+,Male,Tier 1,<20k,Domestic,Call,Monthly,0,5,1,1
199,18-25,Male,Tier 2,20k-50k,Commercial,Mobile App,3-6 months,0,1,0,5
200,36-50,Prefer not to say,Tier 2,20k-50k,Domestic,Agent,Monthly,0,5,1,2
201,36-50,Prefer not to say,Tier 1,20k-50k,Domestic,Agent,3-6 months,1,3,1,4
202,50+,Female,Tier 2,50k-1L,Domestic,Agent,3-6 months,0,2,1,5
203,36-50,Prefer not to say,Tier 1,20k-50k,Domestic,Mobile App,Monthly,1,2,0,5
204,18-25,Female,Tier 2,20k-50k,Domestic,Website,3-6 months,0,3,0,3
205,50+,Prefer not to say,Tier 2,20k-50k,Domestic,Website,3-6 months,1,6,1,1
206,18-25,Male,Tier 2,20k-50k,Domestic,Mobile App,Monthly,1,3,0,4
207,50+,Female,Tier 2,20k-50k,Domestic,Mobile App,2-3 months,1,2,0,3
208,50+,Female,Tier 2,50k-1L,Domestic,Mobile App,Monthly,1,1,0,5
209,26-35,Female,Tier 1,50k-1L,Domestic,Website,3-6 months,1,6,1,1
210,18-25,Male,Tier 1,50k-1L,Domestic,Call,2-3 months,1,5,1,1
211,36-50,Male,Tier 3,50k-1L,Domestic,Mobile App,2-3 months,1,2,0,5
212,36-50,Male,Tier 2,50k-1L,Domestic,Mobile App,2-3 months,1,2,0,3
213,18-25,Male,Tier 1,<20k,Domestic,Mobile App,Monthly,0,3,0,4
214,36-50,Male,Tier 3,50k-1L,Commercial,Call,2-3 months,1,2,1,3
215,36-50,Female,Tier 1,<20k,Domestic,Mobile App,2-3 months,0,2,0,5
216,18-25,Male,Tier 2,<20k,Domestic,Website,2-3 months,1,6,1,1
217,50+,Female,Tier 1,20k-50k,Domestic,Call,3-6 months,1,5,1,1
218,18-25,Male,Tier 2,20k-50k,Domestic,Agent,Monthly,1,5,1,1
219,50+,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,Monthly,1,1,0,4
220,36-50,Female,Tier 1,<20k,Domestic,Mobile App,3-6 months,1,1,0,5
221,36-50,Prefer not to say,Tier 3,<20k,Domestic,Mobile App,2-3 months,1,3,0,4
222,36-50,Female,Tier 2,1L+,Domestic,Mobile App,3-6 months,1,2,0,3
223,26-35,Prefer not to say,Tier 1,<20k,Domestic,Mobile App,3-6 months,0,3,0,3
224,50+,Male,Tier 1,<20k,Domestic,Website,2-3 months,1,6,1,1
225,26-35,Male,Tier 1,20k-50k,Domestic,Mobile App,2-3 months,1,3,0,3
226,26-35,Male,Tier 1,20k-50k,Domestic,Mobile App,Monthly,1,2,0,4
227,18-25,Female,Tier 2,1L+,Domestic,Mobile App,2-3 months,1,3,0,2
228,26-35,Prefer not to say,Tier 3,<20k,Domestic,Mobile App,3-6 months,0,2,0,3
229,18-25,Male,Tier 2,20k-50k,Commercial,Website,3-6 months,0,4,1,2
230,18-25,Prefer not to say,Tier 1,50k-1L,Domestic,Mobile App,2-3 months,1,1,0,5
231,26-35,Prefer not to say,Tier 1,1L+,Domestic,Mobile App,Monthly,1,3,0,3
232,50+,Male,Tier 1,20k-50k,Domestic,Call,3-6 months,1,5,1,2
233,50+,Male,Tier 2,50k-1L,Commercial,Mobile App,2-3 months,1,1,0,5
234,50+,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,Monthly,1,2,0,5
235,50+,Male,Tier 1,20k-50k,Domestic,Mobile App,Monthly,0,1,0,4
236,50+,Male,Tier 2,20k-50k,Commercial,Mobile App,3-6 months,0,1,0,5
237,26-35,Male,Tier 3,50k-1L,Commercial,Mobile App,3-6 months,0,2,0,4
238,26-35,Female,Tier 2,<20k,Domestic,Mobile App,Monthly,1,3,0,4
239,36-50,Prefer not to say,Tier 3,<20k,Domestic,Agent,Monthly,0,3,1,4
240,50+,Prefer not to say,Tier 2,20k-50k,Domestic,Mobile App,Monthly,1,1,0,5
241,26-35,Female,Tier 2,<20k,Domestic,Agent,2-3 months,1,3,1,3
242,36-50,Prefer not to say,Tier 2,<20k,Domestic,Agent,3-6 months,1,5,1,2
243,50+,Male,Tier 2,1L+,Domestic,Call,Monthly,0,3,1,3
244,18-25,Prefer not to say,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,0,3,0,3
245,36-50,Male,Tier 2,20k-50k,Domestic,Mobile App,3-6 months,1,3,0,2
246,26-35,Female,Tier 1,50k-1L,Domestic,Agent,3-6 months,1,6,1,1
247,18-25,Male,Tier 2,20k-50k,Domestic,Call,Monthly,1,5,1,2
248,18-25,Prefer not to say,Tier 1,<20k,Domestic,Call,2-3 months,1,2,1,5
249,18-25,Prefer not to say,Tier 3,<20k,Domestic,Mobile App,Monthly,1,3,0,2
250,36-50,Prefer not to say,Tier 2,20k-50k,Commercial,Website,3-6 months,1,3,0,4
251,26-35,Female,Tier 2,20k-50k,Domestic,Mobile App,Monthly,1,1,0,5
252,18-25,Female,Tier 1,20k-50k,Domestic,Mobile App,Monthly,1,2,0,5
253,50+,Prefer not to say,Tier 3,<20k,Commercial,Mobile App,3-6 months,1,1,0,5
254,18-25,Male,Tier 3,20k-50k,Domestic,Mobile App,3-6 months,1,3,0,3
255,18-25,Female,Tier 2,1L+,Domestic,Mobile App,Monthly,1,1,0,5
256,36-50,Prefer not to say,Tier 1,50k-1L,Commercial,Agent,Monthly,1,4,1,2
257,36-50,Prefer not to say,Tier 2,50k-1L,Domestic,Agent,Monthly,1,4,1,3
258,26-35,Female,Tier 1,50k-1L,Domestic,Agent,Monthly,1,6,1,1
259,50+,Female,Tier 1,20k-50k,Domestic,Mobile App,2-3 months,1,3,0,2
260,36-50,Female,Tier 2,50k-1L,Domestic,Call,Monthly,1,4,1,2
261,18-25,Male,Tier 2,<20k,Domestic,Mobile App,2-3 months,0,2,0,5
262,26-35,Male,Tier 2,50k-1L,Commercial,Mobile App,3-6 months,0,1,0,4
263,18-25,Prefer not to say,Tier 3,20k-50k,Domestic,Mobile App,2-3 months,0,1,0,5
264,18-25,Female,Tier 2,<20k,Domestic,Mobile App,3-6 months,1,3,0,2
265,36-50,Male,Tier 2,50k-1L,Domestic,Mobile App,2-3 months,1,3,0,3
266,26-35,Female,Tier 2,1L+,Domestic,Mobile App,3-6 months,0,1,0,5
267,50+,Prefer not to say,Tier 3,20k-50k,Domestic,Call,Monthly,0,6,1,1
268,50+,Male,Tier 1,50k-1L,Domestic,Website,2-3 months,1,6,1,1
269,36-50,Male,Tier 3,<20k,Domestic,Mobile App,2-3 months,0,3,0,4
270,36-50,Male,Tier 3,20k-50k,Domestic,Website,3-6 months,0,4,1,2
271,26-35,Prefer not to say,Tier 1,20k-50k,Domestic,Agent,3-6 months,1,3,1,4
272,50+,Female,Tier 2,20k-50k,Domestic,Call,2-3 months,0,4,1,3
273,50+,Male,Tier 3,1L+,Domestic,Call,3-6 months,0,2,1,4
274,50+,Prefer not to say,Tier 2,50k-1L,Domestic,Mobile App,Monthly,1,3,0,2
275,18-25,Female,Tier 3,50k-1L,Domestic,Agent,2-3 months,1,5,1,1
276,50+,Prefer not to say,Tier 3,20k-50k,Domestic,Call,Monthly,1,2,1,4
277,18-25,Female,Tier 2,1L+,Domestic,Website,2-3 months,0,3,0,2
278,26-35,Prefer not to say,Tier 2,<20k,Domestic,Call,Monthly,1,2,1,5
279,18-25,Female,Tier 3,50k-1L,Commercial,Agent,2-3 months,1,4,1,1
280,26-35,Male,Tier 2,20k-50k,Domestic,Agent,3-6 months,0,5,1,1
281,50+,Female,Tier 1,<20k,Domestic,Mobile App,2-3 months,0,1,0,5
282,50+,Prefer not to say,Tier 1,50k-1L,Domestic,Mobile App,Monthly,0,1,0,4
283,26-35,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,2-3 months,1,1,0,4
284,36-50,Female,Tier 3,<20k,Domestic,Mobile App,Monthly,1,2,0,3
285,26-35,Male,Tier 3,20k-50k,Domestic,Mobile App,Monthly,1,2,0,5
286,36-50,Male,Tier 2,<20k,Domestic,Agent,Monthly,1,6,1,1
287,18-25,Female,Tier 1,<20k,Commercial,Call,3-6 months,1,3,1,3
288,18-25,Female,Tier 1,<20k,Commercial,Website,2-3 months,1,3,0,3
289,18-25,Prefer not to say,Tier 3,20k-50k,Domestic,Agent,Monthly,1,4,1,3
290,50+,Male,Tier 1,<20k,Domestic,Call,3-6 months,0,4,1,1
291,18-25,Female,Tier 1,50k-1L,Domestic,Website,Monthly,1,3,0,3
292,36-50,Male,Tier 1,<20k,Domestic,Call,2-3 months,1,2,1,4
293,18-25,Female,Tier 2,1L+,Domestic,Agent,3-6 months,1,3,1,2
294,26-35,Female,Tier 3,50k-1L,Domestic,Mobile App,Monthly,1,2,0,3
295,26-35,Male,Tier 1,20k-50k,Domestic,Mobile App,Monthly,1,3,0,2
296,50+,Female,Tier 2,50k-1L,Domestic,Mobile App,Monthly,1,3,0,2
297,26-35,Female,Tier 2,50k-1L,Domestic,Call,2-3 months,0,5,1,1
298,36-50,Prefer not to say,Tier 3,1L+,Domestic,Call,3-6 months,1,5,1,2
299,18-25,Female,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,1,1,0,4
300,50+,Female,Tier 2,<20k,Domestic,Mobile App,3-6 months,1,3,0,3
301,18-25,Female,Tier 2,20k-50k,Domestic,Website,Monthly,0,2,0,5
302,18-25,Prefer not to say,Tier 3,20k-50k,Domestic,Call,3-6 months,0,5,1,1
303,36-50,Male,Tier 2,20k-50k,Commercial,Mobile App,Monthly,1,2,0,3
304,26-35,Prefer not to say,Tier 1,20k-50k,Domestic,Call,2-3 months,1,4,1,2
305,26-35,Prefer not to say,Tier 2,50k-1L,Domestic,Agent,3-6 months,1,5,1,1
306,18-25,Male,Tier 2,1L+,Domestic,Website,Monthly,1,4,1,2
307,50+,Prefer not to say,Tier 1,<20k,Domestic,Mobile App,3-6 months,1,3,0,3
